question,answer
"What is the price of Dell XPS 13?","The Dell XPS 13 costs $1199. It has a 13-inch display, Intel i7 processor, 16GB RAM, and 512GB SSD."
"What is the price of Dell Inspiron 15?","Dell Inspiron 15 is priced at $699. It features a 15-inch screen, Intel i5, 8GB RAM."
"How much is HP Spectre x360?","HP Spectre x360 costs $1399. It is a 2-in-1 laptop with a 4K display."
"What is the cheapest laptop?","The HP Pavilion at $549 is our cheapest laptop. It has AMD Ryzen 5 processor."
"Which laptop has the best performance?","The Apple MacBook Pro 14 with M2 Pro chip costs $1999 and offers excellent performance for professionals."
"Show me Dell laptops","We have Dell XPS 13 ($1199) and Dell Inspiron 15 ($699). Both are in stock."
"Show me HP laptops","HP offers Spectre x360 ($1399) and Pavilion ($549). The Pavilion is budget-friendly."
"Do you have Apple laptops?","Yes, Apple MacBook Air M2 is $1199 and MacBook Pro 14 is $1999."
"What is the price of Apple MacBook Air M2?","The MacBook Air M2 costs $1199. It has a 13.6-inch display and 8GB unified memory."
"Compare Dell and HP laptops","Dell XPS 13 starts at $1199 with Intel i7. HP Spectre x360 is $1399 with a 4K display. Dell is better value for similar specs."
"What is the price of iPhone 15?","iPhone 15 costs $799. It has a 6.1-inch display and dual camera system."
"How much is iPhone 15 Pro?","iPhone 15 Pro is $999. It features a 6.1-inch screen, A17 Pro chip, and better camera."
"Show me Samsung smartphones","We have Samsung Galaxy S24 Ultra ($1299) and Galaxy A54 ($449). The S24 Ultra has an S Pen."
"What is the price of Samsung Galaxy S24 Ultra?","Samsung Galaxy S24 Ultra costs $1299. It has a 6.8-inch display and built-in S Pen."
"Which smartphone has the best camera?","The Google Pixel 8 Pro is known for the best camera. It costs $999."
"What is the price of Google Pixel 8 Pro?","Google Pixel 8 Pro is $999. It features the Tensor G3 chip and exceptional camera quality."
"Compare Apple iPhone 15 and Samsung Galaxy S24 Ultra","iPhone 15 starts at $799, Samsung Galaxy S24 Ultra at $1299. Samsung has a larger screen and S Pen, while iPhone has iOS ecosystem."
"Show me OnePlus phones","OnePlus 12 costs $799. It has Snapdragon 8 Gen 3 and fast charging."
"Do you have Xiaomi phones?","Yes, Xiaomi 14 Pro is available for $899 with Leica camera."
"What is the price of Nike Air Max?","Nike Air Max shoes are $120. Available in men's sizes 7 to 12."
"Show me Nike shoes","We have Nike Air Max ($120) and Nike Revolution 6 ($65). The Revolution 6 is a running shoe."
"What is the price of Adidas Ultraboost?","Adidas Ultraboost costs $180. They are ultra-comfortable running shoes."
"Do you have Adidas Stan Smith?","Yes, Adidas Stan Smith are $85. They are classic sneakers."
"Show me Puma shoes","Puma Suede Classic costs $70. They are unisex and available in multiple colors."
"What is the cheapest shoe?","Bata Power shoes are only $30. They are budget-friendly casuals."
"Are Nike Air Max in stock?","Yes, Nike Air Max are in stock. Price $120, sizes 7-12."
"Do you have Reebok shoes?","Reebok Nano X3 training shoes are $140. Designed for gym workouts."
"What is the price of Levi's 501 Jeans?","Levi's 501 jeans cost $89. Original fit, available in multiple sizes."
"Show me clothing brands","We carry Levi's, Zara, and H&M. Levi's 501 jeans ($89), Zara Slim Fit Jacket ($120), H&M cotton t-shirt ($15)."
"What is the price of Zara Slim Fit Jacket?","The Zara Slim Fit Jacket is $120. It is a stylish blazer."
"How much is an H&M T-shirt?","H&M cotton t-shirts are $15 for a pack of two."
"What accessories do you have?","We have the Rolex Submariner luxury watch for $10,000. Only 2 in stock."
"What is the price of Rolex Submariner?","Rolex Submariner costs $10,000. It is a high-end luxury watch."
"List all brands available","We have Dell, HP, Lenovo, Apple, Asus, Samsung, Google, OnePlus, Xiaomi, Nike, Adidas, Puma, Reebok, Bata, Levi's, Zara, H&M, Rolex."
"What laptops does Lenovo sell?","Lenovo ThinkPad X1 costs $1499. It is a premium business laptop."
"What is the price of Asus ROG Zephyrus?","Asus ROG Zephyrus gaming laptop is $1599 with RTX 4060 graphics."
"Do you have Android phones?","Yes, we have Samsung, Google Pixel, OnePlus, Xiaomi – all Android."
"How many brands do you have?","We have 18 brands: Dell, HP, Lenovo, Apple, Asus, Samsung, Google, OnePlus, Xiaomi, Nike, Adidas, Puma, Reebok, Bata, Levi's, Zara, H&M, Rolex."
"What is the most expensive product?","The Rolex Submariner watch at $10,000 is our most expensive product."
"What is the most affordable product?","H&M cotton t-shirts at $15 for a pack of two are the cheapest."
"Compare Apple and Samsung phones","Apple iPhone 15 starts at $799, Samsung Galaxy S24 Ultra at $1299. Apple focuses on ecosystem, Samsung on display and S Pen."
"Which smartphone has the longest battery life?","The OnePlus 12 has excellent battery life with fast charging. Price $799."
"Do you have gaming laptops?","Yes, Asus ROG Zephyrus ($1599) is a powerful gaming laptop."
"What is the price of Google Pixel 8?","Google Pixel 8 costs $699. It has the Tensor G3 chip."
"Show me budget laptops","HP Pavilion at $549 is our best budget laptop."
"Are there any jeans under $100?","Yes, Levi's 501 jeans are $89, under $100."
"Do you sell watches?","Yes, the Rolex Submariner is available for $10,000."
"What is the return policy?","Our return policy: 30 days for unused items in original packaging. Contact support for details."
"How can I track my order?","After checkout, you will receive an email with tracking number. Orders typically arrive in 3-5 business days."
"Do you offer discounts?","We occasionally have sales. Check the website for current promotions."
"Can I buy online?","Yes, you can place an order by typing 'checkout' after adding items to cart."
"What payment methods do you accept?","We accept credit cards, debit cards, and PayPal."
"Is there customer support?","Yes, contact support@shoppingbot.com or chat with us during business hours."
